plantID,DON_ID,DON_area,forecast,x5,weight_g,ugDON_per_g
A27-Q16-F+ 4,A51,386,0.120679243,0.603396213,0.49,1.231420844
A27-Q16-F+ 5,A52,41390,2.956748245,14.78374122,0.51,28.98772789
A28-Y2-F+ 1,A53,16739,1.744835993,8.724179963,0.5,17.44835993
A28-Y2-F+ 2,A54,13884,1.604476191,8.022380953,0.51,15.73015873
A28-Y2-F+ 3,A55,9673,1.533900701,7.669503503,0.5,15.33900701
A28-Y2-F+ 4,A56,36119,2.697611111,13.48805556,0.52,25.93856838
A32-Q22-F+ 1,A57,12849,1.55359269,7.767963449,0.49,15.85298663
A32-Q22-F+ 2,A58,223727,12.20830265,61.04151323,0.51,119.6892416
A32-Q22-F+ 4,A59,25339,2.807437478,14.03718739,0.54,25.99479146
A32-Q22-F+ 5,A60,19981,1.904221799,9.521108997,0.49,19.43083469
A33-W14-F+ 1,A61,252423,13.50707507,67.53537536,0.5,135.0707507
A33-W14-F+ 2,A62,161118,10.44513278,52.22566389,0.53,98.53898848
A33-W14-F+ 4,A63,584125,28.51980896,142.5990448,0.48,297.0813433
A33-W14-F+ 5,A64,665222,32.19023506,160.9511753,0.5,321.9023506
A35-B-/-F+ 1,A65,16379,1.727137384,8.635686918,0.52,16.60709023
A35-B-/-F+ 2,A66,39219,4.237875856,21.18937928,0.51,41.54780251
A35-B-/-F+ 3,A67,26294,2.905857409,14.52928705,0.51,28.48879813
A35-B-/-F+ 5,A68,24448,2.715613228,13.57806614,0.49,27.71033906
A36-Y108-F+ 2,A69,13862,1.603394609,8.016973045,0.5,16.03394609
A36-Y108-F+ 3,A70,15094,1.663963182,8.31981591,0.51,16.31336453
A36-Y108-F+ 4,A71,7729,0.942184049,4.710920244,0.52,9.059462008
A36-Y108-F+ 5,A72,21684,1.987946053,9.939730263,0.5,19.87946053
A40-A30-F+ 1,A73,142377,9.373716367,46.86858183,0.51,91.89918007
A40-A30-F+ 2,A74,5551,0.779140354,3.895701769,0.5,7.791403539
A40-A30-F+ 3,A75,24333,2.703761613,13.51880806,0.5,27.03761613
A40-A30-F+ 4,A76,19847,1.897633984,9.488169919,0.5,18.97633984
A41-B-/-F+ 1,A77,20636,1.936423435,9.682117176,0.51,18.98454348
A41-B-/-F+ 2,A78,4426,0.694923569,3.474617847,0.49,7.09105683
A41-B-/-F+ 4,A79,9953,1.576508863,7.882544317,0.52,15.15873907
A41-B-/-F+ 5,A80,426812,21.39986936,106.9993468,0.52,205.7679746
A42-Q16-F+ 1,A81,410,0.124331371,0.621656855,0.51,1.218935009
A42-Q16-F+ 2,A82,30732,3.363226683,16.81613342,0.5,33.63226683
A42-Q16-F+ 4,A83,19030,1.857467974,9.287339869,0.49,18.95375484
A43-Y11-F+ 1,A85,165519,10.69673641,53.48368204,0.49,109.1503715
A43-Y11-F+ 2,A86,84925,5.097050865,25.48525432,0.5,50.97050865
A43-Y11-F+ 3,A87,178427,11.43468225,57.17341126,0.49,116.6804311
A43-Y11-F+ 5,A88,149485,9.780078239,48.9003912,0.5,97.80078239
A45-Q22-F+ 1,A89,941,0.205134708,1.025673542,0.52,1.972449118
A45-Q22-F+ 2,A90,296,0.106983762,0.534918809,0.51,1.04886041
A45-Q22-F+ 4,A91,6288,0.834311705,4.171558526,0.52,8.022227935
A45-Q22-F+ 5,A92,322,0.110940234,0.55470117,0.48,1.155627438
A47-W14-F+ 1,A93,145990,9.580270312,47.90135156,0.49,97.75786033
A47-W14-F+ 2,A94,21126,1.960513209,9.802566043,0.52,18.85108854
A47-W14-F+ 4,A95,292,0.106375074,0.531875369,0.5,1.063750738
A47-W14-F+ 5,A96,15402,1.679105325,8.395526626,0.49,17.13372781
A49-Y108-F+ 1,A97,380,0.119766211,0.598831053,0.48,1.247564694
A49-Y108-F+ 2,A98,9047,1.438641022,7.193205111,0.5,14.38641022
A49-Y108-F+ 3,A99,305,0.10835331,0.541766549,0.51,1.062287352
A49-Y108-F+ 5,A100,3419,0.61954019,3.097700949,0.48,6.453543643
A53-B-/-F- 1,A101,275,0.10378815,0.518940748,0.51,1.017530878
A53-B-/-F- 2,A102,299,0.107440278,0.537201389,0.49,1.096329366
A53-B-/-F- 4,A103,219,0.095266517,0.476332585,0.5,0.95266517
A53-B-/-F- 5,A104,280,0.10454901,0.522745048,0.51,1.02499029
A54-Y2-F+ 1,A105,1004,0.438754826,2.193774128,0.5,4.387548255
A54-Y2-F+ 2,A106,19050,1.85845123,9.29225615,0.48,19.35886698
A54-Y2-F+ 3,A107,35858,2.68477962,13.4238981,0.49,27.3957104
A54-Y2-F+ 5,A108,22325,2.019459409,10.09729705,0.5,20.19459409
