"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"172" "35-2" "A35-B-/-F+" "Alsen" "35" "2" "NO" 20 1 3 4 4 3 NA
"173" "35-3" "A35-B-/-F+" "Alsen" "35" "3" "NO" 21 1 4 5 5 2.92 NA
"174" "35-4" "A35-B-/-F+" "Alsen" "35" "4" "YES" NA NA NA NA NA NA NA
"175" "35-5" "A35-B-/-F+" "Alsen" "35" "5" "NO" 20 1 4 5 6 2.81 NA
"176" "36-1" "A36-Y108-F+" "Alsen" "36" "1" "YES" NA NA NA NA NA NA NA
"177" "36-2" "A36-Y108-F+" "Alsen" "36" "2" "NO" 20 2 2 4 4 2.73 NA
"178" "36-3" "A36-Y108-F+" "Alsen" "36" "3" "NO" 21 1 1 2 2 3.93 NA
"179" "36-4" "A36-Y108-F+" "Alsen" "36" "4" "NO" 20 1 1 1 1 3.36 NA
"180" "36-5" "A36-Y108-F+" "Alsen" "36" "5" "NO" 20 1 1 1 2 2.5 NA
"181" "37-1" "N37-W14-F+" "Norm" "37" "1" "NO" 21 3 5 11 12 2.15 NA
"182" "37-2" "N37-W14-F+" "Norm" "37" "2" "NO" 20 2 6 14 17 1.89 NA
"183" "37-3" "N37-W14-F+" "Norm" "37" "3" "NO" 20 3 7 13 16 2.57 NA
"184" "37-4" "N37-W14-F+" "Norm" "37" "4" "YES" NA NA NA NA NA NA NA
"185" "37-5" "N37-W14-F+" "Norm" "37" "5" "NO" 19 3 6 14 19 1.52 NA
"186" "38-1" "N38-B-/-F-" "Norm" "38" "1" "YES" NA NA NA NA NA NA NA
"187" "38-2" "N38-B-/-F-" "Norm" "38" "2" "NO" 20 1 0 0 0 4.99 NA
"188" "38-3" "N38-B-/-F-" "Norm" "38" "3" "NO" 21 0 0 0 0 2.65 NA
"189" "38-4" "N38-B-/-F-" "Norm" "38" "4" "NO" 20 0 0 0 0 4.34 NA
"190" "38-5" "N38-B-/-F-" "Norm" "38" "5" "NO" 21 0 0 0 0 5.31 NA
"191" "39-1" "N39-Y2-F+" "Norm" "39" "1" "NO" 20 5 11 16 20 1.93 NA
"192" "39-2" "N39-Y2-F+" "Norm" "39" "2" "NO" 20 4 9 14 17 2.67 NA
"193" "39-3" "N39-Y2-F+" "Norm" "39" "3" "NO" 19 6 6 10 11 3.57 NA
"194" "39-4" "N39-Y2-F+" "Norm" "39" "4" "NO" 21 1 4 11 14 4.26 NA
"195" "39-5" "N39-Y2-F+" "Norm" "39" "5" "YES" NA NA NA NA NA NA NA
"196" "40-1" "A40-A30-F+" "Alsen" "40" "1" "NO" 20 2 7 8 11 2.17 NA
"197" "40-2" "A40-A30-F+" "Alsen" "40" "2" "NO" 20 1 1 1 1 3.14 NA
"198" "40-3" "A40-A30-F+" "Alsen" "40" "3" "NO" 19 1 2 3 4 2.49 NA
"199" "40-4" "A40-A30-F+" "Alsen" "40" "4" "NO" 18 1 3 4 4 2.42 NA
"200" "40-5" "A40-A30-F+" "Alsen" "40" "5" "YES" NA NA NA NA NA NA NA
"201" "41-1" "A41-B-/-F+" "Alsen" "41" "1" "NO" 20 1 3 4 4 2.71 NA
"202" "41-2" "A41-B-/-F+" "Alsen" "41" "2" "NO" 23 0 0 1 1 3.6 NA
"203" "41-3" "A41-B-/-F+" "Alsen" "41" "3" "YES" NA NA NA NA NA NA NA
"204" "41-4" "A41-B-/-F+" "Alsen" "41" "4" "NO" 20 1 1 1 2 3.45 NA
"205" "41-5" "A41-B-/-F+" "Alsen" "41" "5" "NO" 23 3 7 15 18 1.85 NA
"206" "42-1" "A42-Q16-F+" "Alsen" "42" "1" "NO" 23 0 0 0 0 4.01 NA
"207" "42-2" "A42-Q16-F+" "Alsen" "42" "2" "NO" 23 1 5 5 6 4.65 NA
"208" "42-3" "A42-Q16-F+" "Alsen" "42" "3" "YES" NA NA NA NA NA NA NA
"209" "42-4" "A42-Q16-F+" "Alsen" "42" "4" "NO" 23 1 4 4 5 3.71 NA
"210" "42-5" "A42-Q16-F+" "Alsen" "42" "5" "NO" NA NA NA NA NA NA NA
"211" "43-1" "A43-Y11-F+" "Alsen" "43" "1" "NO" 20 1 5 12 16 1.68 NA
"212" "43-2" "A43-Y11-F+" "Alsen" "43" "2" "NO" 23 1 5 10 10 3.34 NA
"213" "43-3" "A43-Y11-F+" "Alsen" "43" "3" "NO" 20 1 5 10 15 1.67 NA
"214" "43-4" "A43-Y11-F+" "Alsen" "43" "4" "YES" NA NA NA NA NA NA NA
"215" "43-5" "A43-Y11-F+" "Alsen" "43" "5" "NO" 22 2 6 12 16 2.35 NA
